Name,Team,players2.image
Rohit Sharma,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.2.png"
Najmul Hossain Shanto,Bangladesh,
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
Soumya Sarkar,Bangladesh,
Rishabh Pant,India,
Litton Das,Bangladesh,
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png"
Axar Patel,India,
Shivam Dube,India,
Hardik Pandya,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388300/388343.5.png"
Ravindra Jadeja,India,
Reeza Hendricks,South Africa,
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png"
Aiden Markram,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322067.1.png"
Tristan Stubbs,South Africa,
Heinrich Klaasen,South Africa,
David Miller,South Africa,
Marco Jansen,South Africa,
Keshav Maharaj,South Africa,
Kagiso Rabada,South Africa,
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png"
batsmanName,teamInnings,
Rahmanullah Gurbaz,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383237.1.png"
Taskin Ahmed,Bangladesh,
Ibrahim Zadran,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383225.1.png"
Azmatullah Omarzai,Afghanistan,
Karim Janat,Afghanistan,
Shakib Al Hasan,Bangladesh,
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png"
Mohammad Nabi,Afghanistan,
Mohammad Rizwan,Pakistan,
Gulbadin Naib,Afghanistan,
Nangeyalia Kharote,Afghanistan,
Travis Head,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321584.2.png"
David Warner,Australia,
Mitchell Marsh,Australia,
Iftikhar Ahmed,Pakistan,
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png"
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png"
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png"
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png"
Tim David,Australia,
Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322223.png"
Matthew Wade,Australia,
Pat Cummins,Australia,
Ashton Agar,Australia,
Adam Zampa,Australia,
Steven Taylor,United States of America,
Andries Gous,United States of America,
Nitish Kumar,United States of America,
Najibullah Zadran,Afghanistan,
Aaron Jones,United States of America,
Corey Anderson,United States of America,
Milind Kumar,United States of America,
Harmeet Singh,United States of America,
Shadley van Schalkwyk,United States of America,
Ali Khan,United States of America,
Pathum Nissanka,Sri Lanka,
Nosthush Kenjige,United States of America,
Kusal Mendis,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png"
Phil Salt,England,
Dhananjaya de Silva,Sri Lanka,
Jos Buttler,England,
Charith Asalanka,Sri Lanka,
Tanzid Hasan,Bangladesh,
Towhid Hridoy,Bangladesh,
Maheesh Theekshana,Sri Lanka,
Mahmudullah,Bangladesh,
Rishad Hossain,Bangladesh,
Tanzim Hasan Sakib,Bangladesh,
Noor Ahmad,Afghanistan,
Naveen-ul-Haq,Afghanistan,
Kyle Mayers,West Indies,
Shai Hope,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320122.1.png"
Nicholas Pooran,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png"
Roston Chase,West Indies,
Rovman Powell,West Indies,
Sherfane Rutherford,West Indies,
Andre Russell,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.1.png"
Akeal Hosein,West Indies,
Alzarri Joseph,West Indies,
Vikramjit Singh,Netherlands,
Gudakesh Motie,West Indies,
Max O'Dowd,Netherlands,
Arshdeep Singh,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png"
Bas de Leede,Netherlands,
Moeen Ali,England,
Jonny Bairstow,England,
Harry Brook,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.1.png"
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png"
Liam Livingstone,England,
Tim Pringle,Netherlands,
Chris Jordan,England,
Logan van Beek,Netherlands,
Jofra Archer,England,
Adil Rashid,England,
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png"
Mitchell Starc,Australia,
Jaker Ali,Bangladesh,
Paul Stirling,Ireland,
Mahedi Hasan,Bangladesh,
Johnson Charles,West Indies,
Lorcan Tucker,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339164.png"
Hazratullah Zazai,Afghanistan,
Harry Tector,Ireland,
Curtis Campher,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321343.png"
Brandon King,West Indies,
George Dockrell,Ireland,
Romario Shepherd,West Indies,
Gareth Delany,Ireland,
Tony Ura,Papua New Guinea,
Mark Adair,Ireland,
Assad Vala,Papua New Guinea,
Barry McCarthy,Ireland,
Charles Amini,Papua New Guinea,
Sese Bau,Papua New Guinea,
Josh Little,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319874.png"
Hiri Hiri,Papua New Guinea,
Chad Soper,Papua New Guinea,
Kiplin Doriga,Papua New Guinea,
Norman Vanua,Papua New Guinea,
Alei Nao,Papua New Guinea,
Kabua Morea,Papua New Guinea,
Finn Allen,New Zealand,
Devon Conway,New Zealand,
Rachin Ravindra,New Zealand,
Kane Williamson,New Zealand,
Daryl Mitchell,New Zealand,
Shayan Jahangir,United States of America,
Jasdeep Singh,United States of America,
Andy Balbirnie,Ireland,
George Munsey,Scotland,
Saim Ayub,Pakistan,
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png"
Babar Azam,Pakistan,
Matthew Cross,Scotland,
Fakhar Zaman,Pakistan,
Usman Khan,Pakistan,
Michael Leask,Scotland,
Imad Wasim,Pakistan,
Abbas Afridi,Pakistan,
Kamindu Mendis,Sri Lanka,
Chris Greaves,Scotland,
Michael van Lingen,Namibia,
Angelo Mathews,Sri Lanka,
Dasun Shanaka,Sri Lanka,
Wanindu Hasaranga,Sri Lanka,
Jan Frylinck,Namibia,
Michael Levitt,Netherlands,
David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png"
JJ Smit,Namibia,
Sybrand Engelbrecht,Netherlands,
Bernard Scholtz,Namibia,
Scott Edwards,Netherlands,
Gerhard Erasmus,Namibia,
Aryan Dutt,Netherlands,
Kushal Bhurtel,Nepal,
Aasif Sheikh,Nepal,
Anil Sah,Nepal,
Rohit Paudel,Nepal,
Sundeep Jora,Nepal,
Kushal Malla,Nepal,
Dipendra Singh Airee,Nepal,
Gulsan Jha,Nepal,
Sompal Kami,Nepal,
Sandeep Lamichhane,Nepal,
Brandon McMullen,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392118.2.png"
Richie Berrington,Scotland,
Nikolaas Davin,Namibia,
Ronak Patel,Uganda,
Simon Ssesazi,Uganda,
Robinson Obuya,Uganda,
Alpesh Ramjani,Uganda,
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png"
Kenneth Waiswa,Uganda,
Riazat Ali Shah,Uganda,
James Neesham,New Zealand,
Dinesh Nakrani,Uganda,
Trent Boult,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png"
Brian Masaba,Uganda,
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png"
Fred Achelam,Uganda,
Juma Miyagi,Uganda,
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png"
Pratik Athavale,Oman,
Kashyap Prajapati,Oman,
Aqib Ilyas,Oman,
Zeeshan Maqsood,Oman,
Khalid Kail,Oman,
Ayaan Khan,Oman,
Shoaib Khan,Oman,
Mehran Khan,Oman,
Fayyaz Butt,Oman,
Kaleemullah,Oman,
Will Jacks,England,
Lega Siaka,Papua New Guinea,
John Kariko,Papua New Guinea,
Zane Green,Namibia,
Ruben Trumpelmann,Namibia,
Jack Brassell,Namibia,
Aaron Johnson,Canada,
Navneet Dhaliwal,Canada,
Pargat Singh,Canada,
Nicholas Kirton,Canada,
Shreyas Movva,Canada,
Ravinderpal Singh,Canada,
Saad Bin Zafar,Canada,
Kaleem Sana,Canada,
Dilon Heyliger,Canada,
Naseem Khushi,Oman,
Rafiullah,Oman,
Shakeel Ahmed,Oman,
Jasprit Bumrah,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.2.png"
Roger Mukasa,Uganda,
Cosmas Kyewuta,Uganda,
Teja Nidamanuru,Netherlands,
Dilpreet Bajwa,Canada,
Matheesha Pathirana,Sri Lanka,
Mark Chapman,New Zealand,
Michael Bracewell,New Zealand,
Matt Henry,New Zealand,
Lockie Ferguson,New Zealand,
Azam Khan,Pakistan,
Haris Rauf,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322202.png"
Monank Patel,United States of America,
JP Kotze,Namibia,
Malan Kruger,Namibia,
Bilal Hassan,Uganda,
Karan KC,Nepal,
Sagar Dhakal,Nepal,
Sadeera Samarawickrama,Sri Lanka,
Mohammad Nadeem,Oman,
Tabraiz Shamsi,South Africa,
Kuldeep Yadav,India,
Fazalhaq Farooqi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383236.1.png"
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png"
Josh Hazlewood,Australia,
Reece Topley,England,
Saurabh Netravalkar,United States of America,
Obed McCoy,West Indies,
Mark Wood,England,
Ottneil Baartman,South Africa,
Ish Sodhi,New Zealand,
Semo Kamea,Papua New Guinea,
Abinash Bohara,Nepal,
Vivian Kingma,Netherlands,
Nuwan Thushara,Sri Lanka,
Nathan Ellis,Australia,
Brad Wheal,Scotland,
Mark Watt,Scotland,
Chris Sole,Scotland,
Safyaan Sharif,Scotland,
Bilal Khan,Oman,
Mohammad Amir,Pakistan,
Ben White,Ireland,
Jeremy Gordon,Canada,
Junaid Siddiqui,Canada,
Mohammed Siraj,India,
Ben Shikongo,Namibia,
Frank Nsubuga,Uganda,
Brad Currie,Scotland,
Tangeni Lungameni,Namibia,
Craig Young,Ireland,
Henry Ssenyondo,Uganda,
Mujeeb Ur Rahman,Afghanistan,
Mark Wood,,
Jofra Archer,,
Moeen Ali,,
Chris Jordan,,
Adil Rashid,,
Nikhil Dutta,Canada,
